,zip,AQI,Category Number,Category Name,Pollutant
0,12032,90,2,Moderate,OZONE
1,12108,90,2,Moderate,OZONE
2,12134,90,2,Moderate,OZONE
3,12139,90,2,Moderate,OZONE
4,12164,90,2,Moderate,OZONE
5,12190,90,2,Moderate,OZONE
6,12801,90,2,Moderate,OZONE
7,12810,90,2,Moderate,OZONE
8,12812,90,2,Moderate,OZONE
9,12814,90,2,Moderate,OZONE
10,12815,90,2,Moderate,OZONE
11,12824,90,2,Moderate,OZONE
12,12817,90,2,Moderate,OZONE
13,12836,90,2,Moderate,OZONE
14,12901,90,2,Moderate,OZONE
15,12903,90,2,Moderate,OZONE
16,12910,90,2,Moderate,OZONE
17,12911,90,2,Moderate,OZONE
18,12912,90,2,Moderate,OZONE
19,12913,90,2,Moderate,OZONE
20,12914,90,2,Moderate,OZONE
21,12916,90,2,Moderate,OZONE
22,12917,90,2,Moderate,OZONE
23,12918,90,2,Moderate,OZONE
24,12919,90,2,Moderate,OZONE
25,12920,90,2,Moderate,OZONE
26,12921,90,2,Moderate,OZONE
27,12922,90,2,Moderate,OZONE
28,12923,90,2,Moderate,OZONE
29,12924,90,2,Moderate,OZONE
30,12926,90,2,Moderate,OZONE
31,12928,90,2,Moderate,OZONE
32,12930,90,2,Moderate,OZONE
33,12932,90,2,Moderate,OZONE
34,12934,90,2,Moderate,OZONE
35,12935,90,2,Moderate,OZONE
36,12936,90,2,Moderate,OZONE
37,12937,90,2,Moderate,OZONE
38,12941,90,2,Moderate,OZONE
39,12942,90,2,Moderate,OZONE
40,12943,90,2,Moderate,OZONE
41,12944,90,2,Moderate,OZONE
42,12945,90,2,Moderate,OZONE
43,12946,90,2,Moderate,OZONE
44,12949,90,2,Moderate,OZONE
45,12950,90,2,Moderate,OZONE
46,12952,90,2,Moderate,OZONE
47,12953,90,2,Moderate,OZONE
48,12955,90,2,Moderate,OZONE
49,12956,90,2,Moderate,OZONE
50,12957,90,2,Moderate,OZONE
51,12958,90,2,Moderate,OZONE
52,12959,90,2,Moderate,OZONE
53,12960,90,2,Moderate,OZONE
54,12961,90,2,Moderate,OZONE
55,12962,90,2,Moderate,OZONE
