,zip,AQI,Category Number,Category Name,Pollutant,Year
138,13684,44,1,Good,OZONE,2015
139,14414,37,1,Good,OZONE,2015
140,14415,37,1,Good,OZONE,2015
141,14423,37,1,Good,OZONE,2015
142,14424,37,1,Good,OZONE,2015
143,14425,37,1,Good,OZONE,2015
144,14418,37,1,Good,OZONE,2015
145,14435,37,1,Good,OZONE,2015
146,14437,37,1,Good,OZONE,2015
147,14441,37,1,Good,OZONE,2015
148,14454,37,1,Good,OZONE,2015
149,14456,37,1,Good,OZONE,2015
150,14462,37,1,Good,OZONE,2015
151,14432,37,1,Good,OZONE,2015
152,14466,37,1,Good,OZONE,2015
153,14469,37,1,Good,OZONE,2015
154,14471,37,1,Good,OZONE,2015
155,14475,37,1,Good,OZONE,2015
156,14478,37,1,Good,OZONE,2015
157,14480,37,1,Good,OZONE,2015
158,14481,37,1,Good,OZONE,2015
159,14485,37,1,Good,OZONE,2015
160,14486,37,1,Good,OZONE,2015
161,14487,37,1,Good,OZONE,2015
162,14507,37,1,Good,OZONE,2015
163,14510,37,1,Good,OZONE,2015
164,14512,37,1,Good,OZONE,2015
165,14504,37,1,Good,OZONE,2015
166,14517,37,1,Good,OZONE,2015
167,14521,37,1,Good,OZONE,2015
168,14527,37,1,Good,OZONE,2015
169,14532,37,1,Good,OZONE,2015
170,14533,37,1,Good,OZONE,2015
171,14541,37,1,Good,OZONE,2015
172,14544,37,1,Good,OZONE,2015
173,14545,37,1,Good,OZONE,2015
174,14548,37,1,Good,OZONE,2015
175,14823,37,1,Good,OZONE,2015
176,14824,37,1,Good,OZONE,2015
177,14825,37,1,Good,OZONE,2015
178,14826,37,1,Good,OZONE,2015
179,14830,37,1,Good,OZONE,2015
180,14836,37,1,Good,OZONE,2015
181,14837,37,1,Good,OZONE,2015
182,14838,37,1,Good,OZONE,2015
183,14839,37,1,Good,OZONE,2015
184,14840,37,1,Good,OZONE,2015
185,14841,37,1,Good,OZONE,2015
186,14842,37,1,Good,OZONE,2015
187,14843,37,1,Good,OZONE,2015
188,14845,37,1,Good,OZONE,2015
189,14846,37,1,Good,OZONE,2015
190,14847,37,1,Good,OZONE,2015
191,14850,37,1,Good,OZONE,2015
192,14853,37,1,Good,OZONE,2015
193,14855,37,1,Good,OZONE,2015
194,14858,37,1,Good,OZONE,2015
195,14859,37,1,Good,OZONE,2015
196,14860,37,1,Good,OZONE,2015
197,14861,37,1,Good,OZONE,2015
198,14864,37,1,Good,OZONE,2015
199,14865,37,1,Good,OZONE,2015
200,14867,37,1,Good,OZONE,2015
201,14869,37,1,Good,OZONE,2015
202,14870,37,1,Good,OZONE,2015
203,14871,37,1,Good,OZONE,2015
204,14872,37,1,Good,OZONE,2015
205,14873,37,1,Good,OZONE,2015
206,14874,37,1,Good,OZONE,2015
207,14877,37,1,Good,OZONE,2015
208,14878,37,1,Good,OZONE,2015
209,14879,37,1,Good,OZONE,2015
210,14560,37,1,Good,OZONE,2015
211,14561,37,1,Good,OZONE,2015
212,14564,37,1,Good,OZONE,2015
213,14572,37,1,Good,OZONE,2015
214,14801,37,1,Good,OZONE,2015
215,14806,37,1,Good,OZONE,2015
216,14807,37,1,Good,OZONE,2015
217,14808,37,1,Good,OZONE,2015
218,14809,37,1,Good,OZONE,2015
219,14810,37,1,Good,OZONE,2015
220,14812,37,1,Good,OZONE,2015
221,14814,37,1,Good,OZONE,2015
222,14815,37,1,Good,OZONE,2015
223,14816,37,1,Good,OZONE,2015
224,14817,37,1,Good,OZONE,2015
225,14818,37,1,Good,OZONE,2015
226,14819,37,1,Good,OZONE,2015
227,14820,37,1,Good,OZONE,2015
228,14821,37,1,Good,OZONE,2015
229,14885,37,1,Good,OZONE,2015
230,14886,37,1,Good,OZONE,2015
231,14889,37,1,Good,OZONE,2015
232,14891,37,1,Good,OZONE,2015
233,14892,37,1,Good,OZONE,2015
234,14894,37,1,Good,OZONE,2015
235,14898,37,1,Good,OZONE,2015
236,14901,37,1,Good,OZONE,2015
237,14903,37,1,Good,OZONE,2015
238,14904,37,1,Good,OZONE,2015
239,14905,37,1,Good,OZONE,2015
240,14881,37,1,Good,OZONE,2015
241,14882,37,1,Good,OZONE,2015
242,14883,37,1,Good,OZONE,2015
243,13730,37,1,Good,OZONE,2015
244,13731,37,1,Good,OZONE,2015
245,13732,37,1,Good,OZONE,2015
246,13733,37,1,Good,OZONE,2015
247,13734,37,1,Good,OZONE,2015
248,13736,37,1,Good,OZONE,2015
249,13739,37,1,Good,OZONE,2015
250,13740,37,1,Good,OZONE,2015
251,13743,37,1,Good,OZONE,2015
252,13744,37,1,Good,OZONE,2015
253,13746,37,1,Good,OZONE,2015
254,13748,37,1,Good,OZONE,2015
255,13750,37,1,Good,OZONE,2015
256,13751,37,1,Good,OZONE,2015
257,13752,37,1,Good,OZONE,2015
258,13753,37,1,Good,OZONE,2015
259,13754,37,1,Good,OZONE,2015
260,13755,37,1,Good,OZONE,2015
261,13756,37,1,Good,OZONE,2015
262,13757,37,1,Good,OZONE,2015
263,13760,37,1,Good,OZONE,2015
264,13775,37,1,Good,OZONE,2015
265,13776,37,1,Good,OZONE,2015
266,13777,37,1,Good,OZONE,2015
267,13778,37,1,Good,OZONE,2015
268,13780,37,1,Good,OZONE,2015
269,13782,37,1,Good,OZONE,2015
270,13783,37,1,Good,OZONE,2015
271,13786,37,1,Good,OZONE,2015
272,13787,37,1,Good,OZONE,2015
273,13788,37,1,Good,OZONE,2015
274,13790,37,1,Good,OZONE,2015
275,13795,37,1,Good,OZONE,2015
276,13796,37,1,Good,OZONE,2015
277,13797,37,1,Good,OZONE,2015
278,13801,37,1,Good,OZONE,2015
279,13802,37,1,Good,OZONE,2015
280,13803,37,1,Good,OZONE,2015
281,13804,37,1,Good,OZONE,2015
282,13806,37,1,Good,OZONE,2015
283,13807,37,1,Good,OZONE,2015
284,13808,37,1,Good,OZONE,2015
285,13809,37,1,Good,OZONE,2015
286,13810,37,1,Good,OZONE,2015
287,13811,37,1,Good,OZONE,2015
288,13812,37,1,Good,OZONE,2015
289,13813,37,1,Good,OZONE,2015
290,13815,37,1,Good,OZONE,2015
291,13820,37,1,Good,OZONE,2015
292,13825,37,1,Good,OZONE,2015
293,13826,37,1,Good,OZONE,2015
294,13827,37,1,Good,OZONE,2015
295,13830,37,1,Good,OZONE,2015
296,13832,37,1,Good,OZONE,2015
297,13833,37,1,Good,OZONE,2015
298,13834,37,1,Good,OZONE,2015
299,13835,37,1,Good,OZONE,2015
300,13838,37,1,Good,OZONE,2015
301,13839,37,1,Good,OZONE,2015
302,13841,37,1,Good,OZONE,2015
303,13842,37,1,Good,OZONE,2015
304,13843,37,1,Good,OZONE,2015
305,13844,37,1,Good,OZONE,2015
306,13846,37,1,Good,OZONE,2015
307,13849,37,1,Good,OZONE,2015
308,13850,37,1,Good,OZONE,2015
309,13856,37,1,Good,OZONE,2015
310,13859,37,1,Good,OZONE,2015
311,13861,37,1,Good,OZONE,2015
312,13862,37,1,Good,OZONE,2015
313,13863,37,1,Good,OZONE,2015
314,13864,37,1,Good,OZONE,2015
315,13865,37,1,Good,OZONE,2015
316,13901,37,1,Good,OZONE,2015
317,13903,37,1,Good,OZONE,2015
318,13904,37,1,Good,OZONE,2015
319,13905,37,1,Good,OZONE,2015
320,13454,37,1,Good,OZONE,2015
321,13456,37,1,Good,OZONE,2015
322,13460,37,1,Good,OZONE,2015
323,13461,37,1,Good,OZONE,2015
324,13464,37,1,Good,OZONE,2015
325,13468,37,1,Good,OZONE,2015
326,13471,37,1,Good,OZONE,2015
327,13476,37,1,Good,OZONE,2015
328,13477,37,1,Good,OZONE,2015
329,13478,37,1,Good,OZONE,2015
330,13480,37,1,Good,OZONE,2015
331,13482,37,1,Good,OZONE,2015
332,13483,37,1,Good,OZONE,2015
333,13485,37,1,Good,OZONE,2015
334,13486,37,1,Good,OZONE,2015
335,13488,37,1,Good,OZONE,2015
336,13490,37,1,Good,OZONE,2015
337,13491,37,1,Good,OZONE,2015
338,13492,37,1,Good,OZONE,2015
339,13494,37,1,Good,OZONE,2015
340,13495,37,1,Good,OZONE,2015
341,13501,37,1,Good,OZONE,2015
342,13502,37,1,Good,OZONE,2015
343,13431,37,1,Good,OZONE,2015
344,13438,37,1,Good,OZONE,2015
345,13439,37,1,Good,OZONE,2015
346,13440,37,1,Good,OZONE,2015
347,13450,37,1,Good,OZONE,2015
348,13421,37,1,Good,OZONE,2015
349,13424,37,1,Good,OZONE,2015
350,13425,37,1,Good,OZONE,2015
351,13354,37,1,Good,OZONE,2015
352,13355,37,1,Good,OZONE,2015
353,13357,37,1,Good,OZONE,2015
354,13361,37,1,Good,OZONE,2015
355,13363,37,1,Good,OZONE,2015
356,13365,37,1,Good,OZONE,2015
357,13401,37,1,Good,OZONE,2015
358,13402,37,1,Good,OZONE,2015
359,13403,37,1,Good,OZONE,2015
360,13406,37,1,Good,OZONE,2015
361,13407,37,1,Good,OZONE,2015
362,13408,37,1,Good,OZONE,2015
363,13409,37,1,Good,OZONE,2015
364,13411,37,1,Good,OZONE,2015
365,13413,37,1,Good,OZONE,2015
366,13415,37,1,Good,OZONE,2015
367,13416,37,1,Good,OZONE,2015
368,13417,37,1,Good,OZONE,2015
369,13418,37,1,Good,OZONE,2015
370,13326,37,1,Good,OZONE,2015
371,13328,37,1,Good,OZONE,2015
372,13340,37,1,Good,OZONE,2015
373,13342,37,1,Good,OZONE,2015
374,13346,37,1,Good,OZONE,2015
375,13348,37,1,Good,OZONE,2015
376,13350,37,1,Good,OZONE,2015
377,13332,37,1,Good,OZONE,2015
378,13333,37,1,Good,OZONE,2015
379,13334,37,1,Good,OZONE,2015
380,13335,37,1,Good,OZONE,2015
381,13337,37,1,Good,OZONE,2015
382,13338,37,1,Good,OZONE,2015
383,13303,37,1,Good,OZONE,2015
384,13304,37,1,Good,OZONE,2015
385,13308,37,1,Good,OZONE,2015
386,13309,37,1,Good,OZONE,2015
387,13310,37,1,Good,OZONE,2015
388,13314,37,1,Good,OZONE,2015
389,13315,37,1,Good,OZONE,2015
390,13316,37,1,Good,OZONE,2015
391,13158,37,1,Good,OZONE,2015
392,13159,37,1,Good,OZONE,2015
393,13160,37,1,Good,OZONE,2015
394,13164,37,1,Good,OZONE,2015
395,13165,37,1,Good,OZONE,2015
396,13166,37,1,Good,OZONE,2015
397,13318,37,1,Good,OZONE,2015
398,13319,37,1,Good,OZONE,2015
399,13320,37,1,Good,OZONE,2015
